PeakID (cmd=annotatePeaks.pl kidney_14_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_14_5_REP2.mLb.clN_peak_2305	chr19	11965005	11966235	+	2818	NA	promoter-TSS (Osbp)	-promoter-TSS (Osbp)	-224	Osbp	Osbp	NM_001033174			Osbp			NA
kidney_14_5_REP2.mLb.clN_peak_972	chr18	49832223	49833105	+	2393	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-333	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
kidney_14_5_REP2.mLb.clN_peak_2337	chr19	14597718	14599050	+	2252	NA	promoter-TSS (Tle4)	-promoter-TSS (Tle4)	-201	Tle4	Tle4	NM_001302947			Tle4			NA
kidney_14_5_REP2.mLb.clN_peak_692	chr18	36559479	36561405	+	2197	NA	promoter-TSS (Ankhd1)	-promoter-TSS (Ankhd1)	-161	Ankhd1	Ankhd1	NM_175375			Ankhd1			NA
kidney_14_5_REP2.mLb.clN_peak_349	chr18	21299486	21300943	+	2195	NA	promoter-TSS (Garem1)	-promoter-TSS (Garem1)	-75	Garem1	Garem1	NM_001033445			Garem1			NA
kidney_14_5_REP2.mLb.clN_peak_520	chr18	31633915	31635311	+	2168	NA	promoter-TSS (Sap130)	-promoter-TSS (Sap130)	245	Sap130	Sap130	NM_172965			Sap130			NA
kidney_14_5_REP2.mLb.clN_peak_971	chr18	49755242	49756259	+	2148	NA	promoter-TSS (Dtwd2)	-promoter-TSS (Dtwd2)	-149	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
kidney_14_5_REP2.mLb.clN_peak_2108	chr19	6363180	6364593	+	2144	NA	exon (Sf1, exon 1 of 13)	-exon (Sf1, exon 1 of 13)	196	Sf1	Sf1	NR_122118			Sf1			NA
kidney_14_5_REP2.mLb.clN_peak_133	chr18	9449260	9450690	+	2137	NA	exon (Ccny, exon 1 of 10)	-exon (Ccny, exon 1 of 10)	179	Ccny	Ccny	NM_026484			Ccny			NA
kidney_14_5_REP2.mLb.clN_peak_335	chr18	21001011	21002503	+	2105	NA	promoter-TSS (Rnf138)	-promoter-TSS (Rnf138)	-200	Rnf138	Rnf138	NM_207623			Rnf138			NA
kidney_14_5_REP2.mLb.clN_peak_618	chr18	34931433	34932591	+	1966	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	-9	Etf1	Etf1	NM_144866			Etf1			NA
kidney_14_5_REP2.mLb.clN_peak_89	chr18	6764679	6765764	+	1949	NA	promoter-TSS (Rab18)	-promoter-TSS (Rab18)	54	Rab18	Rab18	NM_181070			Rab18			NA
kidney_14_5_REP2.mLb.clN_peak_817	chr18	40218896	40219907	+	1946	NA	promoter-TSS (Yipf5)	-promoter-TSS (Yipf5)	-2	Yipf5	Yipf5	NM_023311			Yipf5			NA
kidney_14_5_REP2.mLb.clN_peak_2140	chr19	7039522	7040684	+	1944	NA	promoter-TSS (Stip1)	-promoter-TSS (Stip1)	-77	Stip1	Stip1	NM_016737			Stip1			NA
kidney_14_5_REP2.mLb.clN_peak_1878	chr18	84850786	84851831	+	1941	NA	promoter-TSS (Cyb5a)	-promoter-TSS (Cyb5a)	-30	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
kidney_14_5_REP2.mLb.clN_peak_1912	chr18	88893517	88894731	+	1887	NA	promoter-TSS (Socs6)	-promoter-TSS (Socs6)	83	Socs6	Socs6	NM_018821			Socs6			NA
kidney_14_5_REP2.mLb.clN_peak_87	chr18	6515804	6516608	+	1883	NA	promoter-TSS (Epc1)	-promoter-TSS (Epc1)	-25349	Epc1	Epc1	NM_027497			Epc1			NA
kidney_14_5_REP2.mLb.clN_peak_7	chr18	3507154	3508397	+	1818	NA	promoter-TSS (Bambi)	-promoter-TSS (Bambi)	-182	Bambi	Bambi	NM_026505			Bambi			NA
kidney_14_5_REP2.mLb.clN_peak_912	chr18	46525134	46526493	+	1799	NA	exon (Fem1c, exon 1 of 3)	-exon (Fem1c, exon 1 of 3)	158	Fem1c	Fem1c	NM_173423			Fem1c			NA
