PeakID (cmd=annotatePeaks.pl kidney_14_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_14_5_REP1.mLb.clN_peak_1143	chr19	6363247	6364391	+	1222	NA	exon (Sf1, exon 1 of 13)	-exon (Sf1, exon 1 of 13)	129	Sf1	Sf1	NR_122118			Sf1			NA
kidney_14_5_REP1.mLb.clN_peak_1314	chr19	14597950	14599040	+	1031	NA	promoter-TSS (Tle4)	-promoter-TSS (Tle4)	-312	Tle4	Tle4	NM_001302947			Tle4			NA
kidney_14_5_REP1.mLb.clN_peak_1172	chr19	7039691	7040738	+	981	NA	promoter-TSS (Stip1)	-promoter-TSS (Stip1)	-188	Stip1	Stip1	NM_016737			Stip1			NA
kidney_14_5_REP1.mLb.clN_peak_369	chr18	36559388	36560815	+	963	NA	promoter-TSS (Ankhd1)	-promoter-TSS (Ankhd1)	-502	Ankhd1	Ankhd1	NM_175375			Ankhd1			NA
kidney_14_5_REP1.mLb.clN_peak_1617	chr19	41980635	41981962	+	944	NA	promoter-TSS (Mms19)	-promoter-TSS (Mms19)	-168	Mms19	Mms19	NR_164197			Mms19			NA
kidney_14_5_REP1.mLb.clN_peak_1297	chr19	11965119	11965883	+	941	NA	promoter-TSS (Osbp)	-promoter-TSS (Osbp)	-343	Osbp	Osbp	NM_001033174			Osbp			NA
kidney_14_5_REP1.mLb.clN_peak_450	chr18	42511086	42511881	+	934	NA	promoter-TSS (Tcerg1)	-promoter-TSS (Tcerg1)	-4	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
kidney_14_5_REP1.mLb.clN_peak_793	chr18	73571958	73573495	+	905	NA	promoter-TSS (Mex3c)	-promoter-TSS (Mex3c)	21	Mex3c	Mex3c	NM_001039214			Mex3c			NA
kidney_14_5_REP1.mLb.clN_peak_168	chr18	21001077	21002417	+	879	NA	promoter-TSS (Rnf138)	-promoter-TSS (Rnf138)	-210	Rnf138	Rnf138	NM_207623			Rnf138			NA
kidney_14_5_REP1.mLb.clN_peak_1815	chr19	53141859	53143062	+	878	NA	promoter-TSS (Add3)	-promoter-TSS (Add3)	-1537	Add3	Add3	NM_001164100			Add3			NA
kidney_14_5_REP1.mLb.clN_peak_171	chr18	21299518	21300752	+	871	NA	promoter-TSS (Garem1)	-promoter-TSS (Garem1)	4	Garem1	Garem1	NM_001033445			Garem1			NA
kidney_14_5_REP1.mLb.clN_peak_255	chr18	31633932	31635244	+	864	NA	promoter-TSS (Sap130)	-promoter-TSS (Sap130)	220	Sap130	Sap130	NM_172965			Sap130			NA
kidney_14_5_REP1.mLb.clN_peak_1040	chr19	4509924	4510826	+	852	NA	promoter-TSS (Pcx)	-promoter-TSS (Pcx)	-11792	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
kidney_14_5_REP1.mLb.clN_peak_798	chr18	73815144	73816034	+	839	NA	promoter-TSS (Me2)	-promoter-TSS (Me2)	-151	Me2	Me2	NR_157387			Me2			NA
kidney_14_5_REP1.mLb.clN_peak_1218	chr19	8819034	8820485	+	833	NA	promoter-TSS (Ttc9c)	-promoter-TSS (Ttc9c)	358	Hnrnpul2	Hnrnpul2	NM_001081196			Hnrnpul2			NA
kidney_14_5_REP1.mLb.clN_peak_485	chr18	46525267	46526501	+	809	NA	promoter-TSS (Fem1c)	-promoter-TSS (Fem1c)	87	Fem1c	Fem1c	NM_173423			Fem1c			NA
kidney_14_5_REP1.mLb.clN_peak_519	chr18	49832260	49833103	+	803	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-316	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
kidney_14_5_REP1.mLb.clN_peak_1784	chr19	47730747	47731956	+	782	NA	promoter-TSS (Sfr1)	-promoter-TSS (Sfr1)	-405	Sfr1	Sfr1	NM_026377			Sfr1			NA
kidney_14_5_REP1.mLb.clN_peak_517	chr18	49755210	49756136	+	756	NA	promoter-TSS (Dtwd2)	-promoter-TSS (Dtwd2)	-72	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
kidney_14_5_REP1.mLb.clN_peak_1229	chr19	8966573	8967409	+	743	NA	promoter-TSS (Eef1g)	-promoter-TSS (Eef1g)	-50	Eef1g	Eef1g	NM_026007			Eef1g			NA
kidney_14_5_REP1.mLb.clN_peak_1000	chr19	3575379	3576356	+	742	NA	promoter-TSS (Ppp6r3)	-promoter-TSS (Ppp6r3)	-118	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
kidney_14_5_REP1.mLb.clN_peak_1011	chr19	3912534	3913419	+	729	NA	promoter-TSS (Ndufs8)	-promoter-TSS (Ndufs8)	-202	Ndufs8	Ndufs8	NM_001271443			Ndufs8			NA
kidney_14_5_REP1.mLb.clN_peak_743	chr18	67724033	67724846	+	727	NA	intron (Ptpn2, intron 1 of 9)	-intron (Ptpn2, intron 1 of 8)	182	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
kidney_14_5_REP1.mLb.clN_peak_712	chr18	65799901	65800876	+	726	NA	promoter-TSS (Sec11c)	-promoter-TSS (Sec11c)	-190	Sec11c	Sec11c	NM_025468			Sec11c			NA
kidney_14_5_REP1.mLb.clN_peak_1616	chr19	41932908	41933748	+	720	NA	promoter-TSS (Exosc1)	-promoter-TSS (Exosc1)	-14	Exosc1	Exosc1	NM_001320231			Exosc1			NA
kidney_14_5_REP1.mLb.clN_peak_261	chr18	31910513	31911690	+	719	NA	exon (Sft2d3, exon 1 of 1)	-exon (Sft2d3, exon 1 of 1)	802	Sft2d3	Sft2d3	NM_026006			Sft2d3			NA
kidney_14_5_REP1.mLb.clN_peak_1464	chr19	29100862	29101715	+	718	NA	promoter-TSS (Rcl1)	-promoter-TSS (Rcl1)	-87	Rcl1	Rcl1	NM_021525			Rcl1			NA
kidney_14_5_REP1.mLb.clN_peak_50	chr18	6764697	6765633	+	715	NA	promoter-TSS (Rab18)	-promoter-TSS (Rab18)	-2	Rab18	Rab18	NM_181070			Rab18			NA
kidney_14_5_REP1.mLb.clN_peak_447	chr18	42274835	42275729	+	712	NA	promoter-TSS (Rbm27)	-promoter-TSS (Rbm27)	-71	Rbm27	Rbm27	NM_172626			Rbm27			NA
kidney_14_5_REP1.mLb.clN_peak_1845	chr19	53943914	53945588	+	700	NA	promoter-TSS (Bbip1)	-promoter-TSS (Bbip1)	-124	Bbip1	Bbip1	NM_001195338			Bbip1			NA
kidney_14_5_REP1.mLb.clN_peak_222	chr18	25168349	25169397	+	688	NA	promoter-TSS (Tpgs2)	-promoter-TSS (Tpgs2)	4	Tpgs2	Tpgs2	NM_001004361			Tpgs2			NA
kidney_14_5_REP1.mLb.clN_peak_45	chr18	6135376	6136809	+	686	NA	promoter-TSS (Arhgap12)	-promoter-TSS (Arhgap12)	6	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
kidney_14_5_REP1.mLb.clN_peak_1653	chr19	43674787	43675857	+	684	NA	promoter-TSS (Slc25a28)	-promoter-TSS (Slc25a28)	144	BC037704	BC037704	NR_045645			BC037704			NA
kidney_14_5_REP1.mLb.clN_peak_1165	chr19	6979433	6980720	+	684	NA	promoter-TSS (Fkbp2)	-promoter-TSS (Fkbp2)	364	LOC114841036	LOC114841036	NM_001370419			LOC114841036			NA
kidney_14_5_REP1.mLb.clN_peak_1452	chr19	28010874	28012204	+	678	NA	promoter-TSS (Rfx3)	-promoter-TSS (Rfx3)	-373	Rfx3	Rfx3	NM_001360358			Rfx3			NA
kidney_14_5_REP1.mLb.clN_peak_1667	chr19	44247872	44248741	+	675	NA	Intergenic	Intergenic	45018	Scd3	Scd3	NM_024450			Scd3			NA
kidney_14_5_REP1.mLb.clN_peak_441	chr18	40218929	40219789	+	674	NA	promoter-TSS (Yipf5)	-promoter-TSS (Yipf5)	40	Yipf5	Yipf5	NM_023311			Yipf5			NA
kidney_14_5_REP1.mLb.clN_peak_49	chr18	6515960	6516631	+	672	NA	promoter-TSS (Epc1)	-promoter-TSS (Epc1)	-25438	Epc1	Epc1	NM_027497			Epc1			NA
kidney_14_5_REP1.mLb.clN_peak_1624	chr19	42090164	42090927	+	669	NA	exon (Pi4k2a, exon 1 of 9)	-exon (Pi4k2a, exon 1 of 9)	110	Pi4k2a	Pi4k2a	NM_145501			Pi4k2a			NA
kidney_14_5_REP1.mLb.clN_peak_520	chr18	49978981	49979648	+	667	NA	promoter-TSS (Tnfaip8)	-promoter-TSS (Tnfaip8)	-73968	Tnfaip8	Tnfaip8	NM_001360935			Tnfaip8			NA
kidney_14_5_REP1.mLb.clN_peak_1761	chr19	46760871	46761980	+	667	NA	promoter-TSS (Cnnm2)	-promoter-TSS (Cnnm2)	-184	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
kidney_14_5_REP1.mLb.clN_peak_1210	chr19	8722819	8723528	+	664	NA	promoter-TSS (Snhg1)	-promoter-TSS (Snhg1)	-314	Snhg1	Snhg1	NR_002896			Snhg1			NA
kidney_14_5_REP1.mLb.clN_peak_213	chr18	24603276	24604244	+	661	NA	promoter-TSS (Elp2)	-promoter-TSS (Elp2)	57	Slc39a6	Slc39a6	NM_139143			Slc39a6			NA
kidney_14_5_REP1.mLb.clN_peak_411	chr18	38250057	38250714	+	654	NA	promoter-TSS (1700086O06Rik)	-promoter-TSS (1700086O06Rik)	136	Dele1	Dele1	NM_024179			Dele1			NA
kidney_14_5_REP1.mLb.clN_peak_431	chr18	38992651	38993621	+	648	NA	promoter-TSS (Arhgap26)	-promoter-TSS (Arhgap26)	-9	Arhgap26	Arhgap26	NM_001374831			Arhgap26			NA
kidney_14_5_REP1.mLb.clN_peak_1374	chr19	21652600	21653689	+	644	NA	promoter-TSS (1110059E24Rik)	-promoter-TSS (1110059E24Rik)	-165	Abhd17b	Abhd17b	NM_146096			Abhd17b			NA
kidney_14_5_REP1.mLb.clN_peak_257	chr18	31759468	31760668	+	641	NA	promoter-TSS (Ammecr1l)	-promoter-TSS (Ammecr1l)	244	Ammecr1l	Ammecr1l	NM_153515			Ammecr1l			NA
kidney_14_5_REP1.mLb.clN_peak_1423	chr19	24961448	24961980	+	635	NA	promoter-TSS (Cbwd1)	-promoter-TSS (Cbwd1)	-98	Cbwd1	Cbwd1	NM_146097			Cbwd1			NA
kidney_14_5_REP1.mLb.clN_peak_399	chr18	37934955	37935782	+	634	NA	exon (Diaph1, exon 1 of 28)	-exon (Diaph1, exon 1 of 28)	108	Diaph1	Diaph1	NM_007858			Diaph1			NA
kidney_14_5_REP1.mLb.clN_peak_314	chr18	34931568	34932528	+	630	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	-45	Etf1	Etf1	NM_144866			Etf1			NA
kidney_14_5_REP1.mLb.clN_peak_1721	chr19	45783069	45783950	+	627	NA	promoter-TSS (Oga)	-promoter-TSS (Oga)	44	Oga	Oga	NR_151594			Oga			NA
kidney_14_5_REP1.mLb.clN_peak_988	chr18	88893730	88894545	+	627	NA	promoter-TSS (Socs6)	-promoter-TSS (Socs6)	70	Socs6	Socs6	NM_018821			Socs6			NA
kidney_14_5_REP1.mLb.clN_peak_700	chr18	65430370	65431428	+	619	NA	promoter-TSS (Malt1)	-promoter-TSS (Malt1)	-91	Malt1	Malt1	NM_001365019			Malt1			NA
kidney_14_5_REP1.mLb.clN_peak_1367	chr19	21271656	21273005	+	616	NA	promoter-TSS (Zfand5)	-promoter-TSS (Zfand5)	52	Zfand5	Zfand5	NM_009551			Zfand5			NA
kidney_14_5_REP1.mLb.clN_peak_1829	chr19	53599761	53600942	+	605	NA	promoter-TSS (Smc3)	-promoter-TSS (Smc3)	-45	Smc3	Smc3	NM_007790			Smc3			NA
kidney_14_5_REP1.mLb.clN_peak_1212	chr19	8741032	8742103	+	600	NA	promoter-TSS (Stx5a)	-promoter-TSS (Stx5a)	-236	Stx5a	Stx5a	NM_001167799			Stx5a			NA
kidney_14_5_REP1.mLb.clN_peak_81	chr18	10181319	10182649	+	599	NA	promoter-TSS (Rock1)	-promoter-TSS (Rock1)	-192	Rock1	Rock1	NM_009071			Rock1			NA
kidney_14_5_REP1.mLb.clN_peak_32	chr18	5333973	5335211	+	596	NA	promoter-TSS (Zfp438)	-promoter-TSS (Zfp438)	-153	Zfp438	Zfp438	NM_178722			Zfp438			NA
kidney_14_5_REP1.mLb.clN_peak_211	chr18	24529692	24530686	+	591	NA	promoter-TSS (Rprd1a)	-promoter-TSS (Rprd1a)	15	Rprd1a	Rprd1a	NM_001360807			Rprd1a			NA
kidney_14_5_REP1.mLb.clN_peak_1016	chr19	4012361	4013184	+	589	NA	promoter-TSS (Ndufv1)	-promoter-TSS (Ndufv1)	-17	Ndufv1	Ndufv1	NM_133666			Ndufv1			NA
kidney_14_5_REP1.mLb.clN_peak_1844	chr19	53902786	53904162	+	578	NA	exon (Pdcd4, exon 1 of 12)	-exon (Pdcd4, exon 1 of 12)	11243	Pdcd4	Pdcd4	NM_001168492			Pdcd4			NA
kidney_14_5_REP1.mLb.clN_peak_1669	chr19	44283876	44284985	+	575	NA	Intergenic	Intergenic	-9246	Scd2	Scd2	NM_009128			Scd2			NA
kidney_14_5_REP1.mLb.clN_peak_1159	chr19	6921465	6922424	+	574	NA	promoter-TSS (Esrra)	-promoter-TSS (Esrra)	-136	Esrra	Esrra	NM_007953			Esrra			NA
kidney_14_5_REP1.mLb.clN_peak_659	chr18	61554718	61555641	+	571	NA	promoter-TSS (Csnk1a1)	-promoter-TSS (Csnk1a1)	-94	Csnk1a1	Csnk1a1	NM_001357498			Csnk1a1			NA
kidney_14_5_REP1.mLb.clN_peak_1197	chr19	7493917	7494921	+	569	NA	promoter-TSS (Atl3)	-promoter-TSS (Atl3)	-19	Atl3	Atl3	NM_001163505			Atl3			NA
kidney_14_5_REP1.mLb.clN_peak_1196	chr19	7482692	7483750	+	569	NA	promoter-TSS (Rtn3)	-promoter-TSS (Rtn3)	70	Rtn3	Rtn3	NM_001003933			Rtn3			NA
kidney_14_5_REP1.mLb.clN_peak_1568	chr19	38054261	38055406	+	564	NA	promoter-TSS (Cep55)	-promoter-TSS (Cep55)	-208	Cep55	Cep55	NM_028293			Cep55			NA
kidney_14_5_REP1.mLb.clN_peak_974	chr18	84951330	84952502	+	563	NA	promoter-TSS (Fbxo15)	-promoter-TSS (Fbxo15)	-392	Timm21	Timm21	NR_160856			Timm21			NA
kidney_14_5_REP1.mLb.clN_peak_716	chr18	66002367	66002950	+	563	NA	promoter-TSS (Lman1)	-promoter-TSS (Lman1)	-23	Lman1	Lman1	NM_027400			Lman1			NA
kidney_14_5_REP1.mLb.clN_peak_196	chr18	23803382	23804415	+	556	NA	promoter-TSS (Mapre2)	-promoter-TSS (Mapre2)	-72	Mapre2	Mapre2	NM_153058			Mapre2			NA
kidney_14_5_REP1.mLb.clN_peak_1310	chr19	12794733	12796693	+	552	NA	promoter-TSS (Lpxn)	-promoter-TSS (Lpxn)	410	Zfp91	Zfp91	NM_053009			Zfp91			NA
kidney_14_5_REP1.mLb.clN_peak_660	chr18	61653241	61653874	+	550	NA	intron (Carmn, intron 2 of 4)	-intron (Carmn, intron 2 of 4)	-4299	Mir143	Mir143	NR_029601			Mir143			NA
kidney_14_5_REP1.mLb.clN_peak_973	chr18	84850924	84851615	+	549	NA	promoter-TSS (Cyb5a)	-promoter-TSS (Cyb5a)	-69	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
kidney_14_5_REP1.mLb.clN_peak_587	chr18	56925068	56926080	+	548	NA	promoter-TSS (Marchf3)	-promoter-TSS (Marchf3)	-59	Marchf3	Marchf3	NM_001374227			Marchf3			NA
kidney_14_5_REP1.mLb.clN_peak_1249	chr19	10100807	10102222	+	544	NA	promoter-TSS (Fads2)	-promoter-TSS (Fads2)	-11	Fads2	Fads2	NM_019699			Fads2			NA
kidney_14_5_REP1.mLb.clN_peak_865	chr18	76240936	76242421	+	539	NA	promoter-TSS (Smad2)	-promoter-TSS (Smad2)	-23	Smad2	Smad2	NM_001252481			Smad2			NA
kidney_14_5_REP1.mLb.clN_peak_807	chr18	74267833	74268473	+	537	NA	promoter-TSS (Mbd1)	-promoter-TSS (Mbd1)	-22	Mbd1	Mbd1	NM_001357423			Mbd1			NA
kidney_14_5_REP1.mLb.clN_peak_1217	chr19	8802008	8802849	+	534	NA	promoter-TSS (Zbtb3)	-promoter-TSS (Zbtb3)	-85	Zbtb3	Zbtb3	NM_001098237			Zbtb3			NA
kidney_14_5_REP1.mLb.clN_peak_1625	chr19	42128623	42129568	+	533	NA	promoter-TSS (Avpi1)	-promoter-TSS (Avpi1)	-102	Avpi1	Avpi1	NM_027106			Avpi1			NA
kidney_14_5_REP1.mLb.clN_peak_73	chr18	9449297	9450556	+	531	NA	exon (Ccny, exon 1 of 10)	-exon (Ccny, exon 1 of 10)	228	Ccny	Ccny	NM_026484			Ccny			NA
kidney_14_5_REP1.mLb.clN_peak_43	chr18	5989578	5990453	+	528	NA	Intergenic	Intergenic	146083	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
kidney_14_5_REP1.mLb.clN_peak_1216	chr19	8785900	8786723	+	527	NA	promoter-TSS (Taf6l)	-promoter-TSS (Taf6l)	5	Taf6l	Taf6l	NM_146092			Taf6l			NA
kidney_14_5_REP1.mLb.clN_peak_5	chr18	3507255	3508273	+	526	NA	promoter-TSS (Bambi)	-promoter-TSS (Bambi)	-193	Bambi	Bambi	NM_026505			Bambi			NA
kidney_14_5_REP1.mLb.clN_peak_60	chr18	7626420	7627218	+	516	NA	promoter-TSS (Mpp7)	-promoter-TSS (Mpp7)	-18665	Mpp7	Mpp7	NM_001081287			Mpp7			NA
kidney_14_5_REP1.mLb.clN_peak_1239	chr19	9899239	9900110	+	515	NA	promoter-TSS (Incenp)	-promoter-TSS (Incenp)	-185	Incenp	Incenp	NM_001369356			Incenp			NA
kidney_14_5_REP1.mLb.clN_peak_1707	chr19	45363438	45364334	+	514	NA	exon (Btrc, exon 1 of 15)	-exon (Btrc, exon 1 of 15)	152	Btrc	Btrc	NM_001360120			Btrc			NA
kidney_14_5_REP1.mLb.clN_peak_1821	chr19	53390018	53391107	+	512	NA	promoter-TSS (Smndc1)	-promoter-TSS (Smndc1)	72	Smndc1	Smndc1	NM_172429			Smndc1			NA
