PeakID (cmd=annotatePeaks.pl liver_15_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_15_5_REP1.mLb.clN_peak_1282	chr19	11965158	11966112	+	15503	NA	promoter-TSS (Osbp)	-promoter-TSS (Osbp)	-209	Osbp	Osbp	NM_001033174			Osbp			NA
liver_15_5_REP1.mLb.clN_peak_354	chr18	36559499	36560886	+	11092	NA	promoter-TSS (Ankhd1)	-promoter-TSS (Ankhd1)	-411	Ankhd1	Ankhd1	NM_175375			Ankhd1			NA
liver_15_5_REP1.mLb.clN_peak_1152	chr19	7039527	7040696	+	9198	NA	promoter-TSS (Stip1)	-promoter-TSS (Stip1)	-85	Stip1	Stip1	NM_016737			Stip1			NA
liver_15_5_REP1.mLb.clN_peak_1300	chr19	14597591	14598946	+	8774	NA	promoter-TSS (Tle4)	-promoter-TSS (Tle4)	-85	Tle4	Tle4	NM_001302947			Tle4			NA
liver_15_5_REP1.mLb.clN_peak_272	chr18	32542144	32543192	+	8343	NA	intron (Gypc, intron 1 of 2)	-intron (Gypc, intron 1 of 2)	17366	Gypc	Gypc	NM_001048207			Gypc			NA
liver_15_5_REP1.mLb.clN_peak_1013	chr19	4510032	4510861	+	7987	NA	promoter-TSS (Pcx)	-promoter-TSS (Pcx)	-11863	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
liver_15_5_REP1.mLb.clN_peak_740	chr18	73572021	73573495	+	7555	NA	promoter-TSS (Mex3c)	-promoter-TSS (Mex3c)	53	Mex3c	Mex3c	NM_001039214			Mex3c			NA
liver_15_5_REP1.mLb.clN_peak_1698	chr19	43674551	43675891	+	7555	NA	promoter-TSS (Slc25a28)	-promoter-TSS (Slc25a28)	43	BC037704	BC037704	NR_045645			BC037704			NA
liver_15_5_REP1.mLb.clN_peak_1133	chr19	6363316	6364483	+	7473	NA	exon (Sf1, exon 1 of 13)	-exon (Sf1, exon 1 of 13)	209	Sf1	Sf1	NR_122118			Sf1			NA
liver_15_5_REP1.mLb.clN_peak_471	chr18	49832256	49833113	+	7173	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-313	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
