PeakID (cmd=annotatePeaks.pl liver_15_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_15_5_REP2.mLb.clN_peak_1074	chr19	11965139	11966073	+	8450	NA	promoter-TSS (Osbp)	-promoter-TSS (Osbp)	-238	Osbp	Osbp	NM_001033174			Osbp			NA
liver_15_5_REP2.mLb.clN_peak_308	chr18	36559496	36560892	+	5514	NA	promoter-TSS (Ankhd1)	-promoter-TSS (Ankhd1)	-409	Ankhd1	Ankhd1	NM_175375			Ankhd1			NA
liver_15_5_REP2.mLb.clN_peak_962	chr19	7039571	7040690	+	5279	NA	promoter-TSS (Stip1)	-promoter-TSS (Stip1)	-104	Stip1	Stip1	NM_016737			Stip1			NA
liver_15_5_REP2.mLb.clN_peak_1088	chr19	14597215	14598953	+	4762	NA	promoter-TSS (Tle4)	-promoter-TSS (Tle4)	99	Tle4	Tle4	NM_001302947			Tle4			NA
liver_15_5_REP2.mLb.clN_peak_1414	chr19	43674539	43675937	+	4367	NA	promoter-TSS (Slc25a28)	-promoter-TSS (Slc25a28)	60	BC037704	BC037704	NR_045645			BC037704			NA
liver_15_5_REP2.mLb.clN_peak_406	chr18	49832257	49833145	+	4290	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-296	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
liver_15_5_REP2.mLb.clN_peak_231	chr18	32542150	32543195	+	4262	NA	intron (Gypc, intron 1 of 2)	-intron (Gypc, intron 1 of 2)	17362	Gypc	Gypc	NM_001048207			Gypc			NA
liver_15_5_REP2.mLb.clN_peak_404	chr18	49755242	49756259	+	4075	NA	promoter-TSS (Dtwd2)	-promoter-TSS (Dtwd2)	-149	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
liver_15_5_REP2.mLb.clN_peak_835	chr19	4510050	4510874	+	3970	NA	promoter-TSS (Pcx)	-promoter-TSS (Pcx)	-11879	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
liver_15_5_REP2.mLb.clN_peak_50	chr18	6764832	6765489	+	3943	NA	promoter-TSS (Rab18)	-promoter-TSS (Rab18)	-7	Rab18	Rab18	NM_181070			Rab18			NA
liver_15_5_REP2.mLb.clN_peak_624	chr18	73571989	73573495	+	3728	NA	promoter-TSS (Mex3c)	-promoter-TSS (Mex3c)	37	Mex3c	Mex3c	NM_001039214			Mex3c			NA
liver_15_5_REP2.mLb.clN_peak_760	chr18	84884477	84885673	+	3652	NA	Intergenic	Intergenic	33737	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
liver_15_5_REP2.mLb.clN_peak_630	chr18	73815089	73816040	+	3606	NA	promoter-TSS (Me2)	-promoter-TSS (Me2)	-126	Me2	Me2	NR_157387			Me2			NA
liver_15_5_REP2.mLb.clN_peak_759	chr18	84850917	84851919	+	3544	NA	promoter-TSS (Cyb5a)	-promoter-TSS (Cyb5a)	80	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
liver_15_5_REP2.mLb.clN_peak_512	chr18	62166035	62166791	+	3358	NA	Intergenic	Intergenic	13568	Adrb2	Adrb2	NM_007420			Adrb2			NA
liver_15_5_REP2.mLb.clN_peak_337	chr18	38296543	38297463	+	3281	NA	exon (Rnf14, exon 1 of 10)	-exon (Rnf14, exon 1 of 10)	368	Rnf14	Rnf14	NM_001361267			Rnf14			NA
liver_15_5_REP2.mLb.clN_peak_943	chr19	6363319	6364565	+	3263	NA	exon (Sf1, exon 1 of 13)	-exon (Sf1, exon 1 of 13)	252	Sf1	Sf1	NR_122118			Sf1			NA
liver_15_5_REP2.mLb.clN_peak_214	chr18	31633951	31635212	+	3186	NA	promoter-TSS (Sap130)	-promoter-TSS (Sap130)	213	Sap130	Sap130	NM_172965			Sap130			NA
