PeakID (cmd=annotatePeaks.pl kidney_15_5_REP1.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
kidney_15_5_REP1.mLb.clN_peak_2020	chr19	11965069	11966157	+	2831	NA	promoter-TSS (Osbp)	-promoter-TSS (Osbp)	-231	Osbp	Osbp	NM_001033174			Osbp			NA
kidney_15_5_REP1.mLb.clN_peak_318	chr18	21299503	21300913	+	2326	NA	promoter-TSS (Garem1)	-promoter-TSS (Garem1)	-69	Garem1	Garem1	NM_001033445			Garem1			NA
kidney_15_5_REP1.mLb.clN_peak_2047	chr19	14597834	14599084	+	2232	NA	promoter-TSS (Tle4)	-promoter-TSS (Tle4)	-276	Tle4	Tle4	NM_001302947			Tle4			NA
kidney_15_5_REP1.mLb.clN_peak_304	chr18	21001086	21002492	+	2155	NA	promoter-TSS (Rnf138)	-promoter-TSS (Rnf138)	-168	Rnf138	Rnf138	NM_207623			Rnf138			NA
kidney_15_5_REP1.mLb.clN_peak_470	chr18	31633868	31635337	+	2123	NA	promoter-TSS (Sap130)	-promoter-TSS (Sap130)	234	Sap130	Sap130	NM_172965			Sap130			NA
kidney_15_5_REP1.mLb.clN_peak_856	chr18	49755242	49756249	+	2076	NA	promoter-TSS (Dtwd2)	-promoter-TSS (Dtwd2)	-144	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
kidney_15_5_REP1.mLb.clN_peak_86	chr18	6764672	6765787	+	2026	NA	promoter-TSS (Rab18)	-promoter-TSS (Rab18)	62	Rab18	Rab18	NM_181070			Rab18			NA
kidney_15_5_REP1.mLb.clN_peak_859	chr18	49832238	49833141	+	1967	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-308	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
kidney_15_5_REP1.mLb.clN_peak_616	chr18	36559479	36561405	+	1912	NA	promoter-TSS (Ankhd1)	-promoter-TSS (Ankhd1)	-161	Ankhd1	Ankhd1	NM_175375			Ankhd1			NA
kidney_15_5_REP1.mLb.clN_peak_1649	chr18	88893524	88894729	+	1887	NA	promoter-TSS (Socs6)	-promoter-TSS (Socs6)	81	Socs6	Socs6	NM_018821			Socs6			NA
kidney_15_5_REP1.mLb.clN_peak_797	chr18	46525160	46526546	+	1813	NA	exon (Fem1c, exon 1 of 3)	-exon (Fem1c, exon 1 of 3)	118	Fem1c	Fem1c	NM_173423			Fem1c			NA
kidney_15_5_REP1.mLb.clN_peak_7	chr18	3507191	3508400	+	1741	NA	promoter-TSS (Bambi)	-promoter-TSS (Bambi)	-162	Bambi	Bambi	NM_026505			Bambi			NA
kidney_15_5_REP1.mLb.clN_peak_1724	chr19	4509925	4510808	+	1717	NA	promoter-TSS (Pcx)	-promoter-TSS (Pcx)	-11783	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
kidney_15_5_REP1.mLb.clN_peak_2144	chr19	21271570	21273037	+	1711	NA	promoter-TSS (Zfand5)	-promoter-TSS (Zfand5)	25	Zfand5	Zfand5	NM_009551			Zfand5			NA
kidney_15_5_REP1.mLb.clN_peak_397	chr18	25168254	25169587	+	1665	NA	promoter-TSS (Tpgs2)	-promoter-TSS (Tpgs2)	-43	Tpgs2	Tpgs2	NM_001004361			Tpgs2			NA
kidney_15_5_REP1.mLb.clN_peak_1322	chr18	73571896	73573413	+	1662	NA	promoter-TSS (Mex3c)	-promoter-TSS (Mex3c)	-51	Mex3c	Mex3c	NM_001039214			Mex3c			NA
kidney_15_5_REP1.mLb.clN_peak_2152	chr19	21652434	21653803	+	1658	NA	promoter-TSS (1110059E24Rik)	-promoter-TSS (1110059E24Rik)	-191	Abhd17b	Abhd17b	NM_146096			Abhd17b			NA
kidney_15_5_REP1.mLb.clN_peak_1832	chr19	6363251	6364598	+	1643	NA	exon (Sf1, exon 1 of 13)	-exon (Sf1, exon 1 of 13)	234	Sf1	Sf1	NR_122118			Sf1			NA
kidney_15_5_REP1.mLb.clN_peak_1220	chr18	67723953	67725029	+	1614	NA	exon (Ptpn2, exon 1 of 9)	-exon (Ptpn2, exon 1 of 9)	130	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
kidney_15_5_REP1.mLb.clN_peak_75	chr18	5989509	5990349	+	1604	NA	Intergenic	Intergenic	146169	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
kidney_15_5_REP1.mLb.clN_peak_2780	chr19	53141820	53143220	+	1569	NA	promoter-TSS (Add3)	-promoter-TSS (Add3)	-1477	Add3	Add3	NM_001164100			Add3			NA
kidney_15_5_REP1.mLb.clN_peak_1615	chr18	84850818	84851846	+	1555	NA	promoter-TSS (Cyb5a)	-promoter-TSS (Cyb5a)	-6	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
kidney_15_5_REP1.mLb.clN_peak_2533	chr19	41980615	41982040	+	1549	NA	promoter-TSS (Mms19)	-promoter-TSS (Mms19)	-197	Mms19	Mms19	NR_164197			Mms19			NA
kidney_15_5_REP1.mLb.clN_peak_1866	chr19	7039490	7040647	+	1542	NA	promoter-TSS (Stip1)	-promoter-TSS (Stip1)	-42	Stip1	Stip1	NM_016737			Stip1			NA
kidney_15_5_REP1.mLb.clN_peak_730	chr18	42274798	42275837	+	1540	NA	promoter-TSS (Rbm27)	-promoter-TSS (Rbm27)	-36	Rbm27	Rbm27	NM_172626			Rbm27			NA
kidney_15_5_REP1.mLb.clN_peak_734	chr18	42510961	42512035	+	1522	NA	promoter-TSS (Tcerg1)	-promoter-TSS (Tcerg1)	11	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
kidney_15_5_REP1.mLb.clN_peak_122	chr18	9449297	9450755	+	1510	NA	exon (Ccny, exon 1 of 10)	-exon (Ccny, exon 1 of 10)	128	Ccny	Ccny	NM_026484			Ccny			NA
kidney_15_5_REP1.mLb.clN_peak_551	chr18	34931461	34932568	+	1501	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	-11	Etf1	Etf1	NM_144866			Etf1			NA
kidney_15_5_REP1.mLb.clN_peak_721	chr18	40218895	40219897	+	1475	NA	promoter-TSS (Yipf5)	-promoter-TSS (Yipf5)	3	Yipf5	Yipf5	NM_023311			Yipf5			NA
kidney_15_5_REP1.mLb.clN_peak_84	chr18	6515822	6516696	+	1456	NA	promoter-TSS (Epc1)	-promoter-TSS (Epc1)	-25402	Epc1	Epc1	NM_027497			Epc1			NA
kidney_15_5_REP1.mLb.clN_peak_360	chr18	23803480	23804480	+	1419	NA	promoter-TSS (Mapre2)	-promoter-TSS (Mapre2)	10	Mapre2	Mapre2	NM_153058			Mapre2			NA
kidney_15_5_REP1.mLb.clN_peak_1328	chr18	73815084	73816076	+	1414	NA	promoter-TSS (Me2)	-promoter-TSS (Me2)	-142	Me2	Me2	NR_157387			Me2			NA
kidney_15_5_REP1.mLb.clN_peak_1619	chr18	84951127	84952418	+	1393	NA	promoter-TSS (Fbxo15)	-promoter-TSS (Fbxo15)	-248	Timm21	Timm21	NR_160856			Timm21			NA
kidney_15_5_REP1.mLb.clN_peak_2275	chr19	28010633	28012279	+	1391	NA	promoter-TSS (Rfx3)	-promoter-TSS (Rfx3)	-290	Rfx3	Rfx3	NM_001360358			Rfx3			NA
kidney_15_5_REP1.mLb.clN_peak_97	chr18	7626277	7627240	+	1381	NA	exon (Mpp7, exon 1 of 17)	-exon (Mpp7, exon 1 of 17)	-18604	Mpp7	Mpp7	NM_001081287			Mpp7			NA
kidney_15_5_REP1.mLb.clN_peak_697	chr18	38992524	38993736	+	1373	NA	promoter-TSS (Arhgap26)	-promoter-TSS (Arhgap26)	-15	Arhgap26	Arhgap26	NM_001374831			Arhgap26			NA
