PeakID (cmd=annotatePeaks.pl liver_14_5_REP2.mLb.clN_peaks.narrowPeak mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
liver_14_5_REP2.mLb.clN_peak_1480	chr19	11965121	11966161	+	19251	NA	promoter-TSS (Osbp)	-promoter-TSS (Osbp)	-203	Osbp	Osbp	NM_001033174			Osbp			NA
liver_14_5_REP2.mLb.clN_peak_1505	chr19	14597219	14598952	+	13484	NA	promoter-TSS (Tle4)	-promoter-TSS (Tle4)	98	Tle4	Tle4	NM_001302947			Tle4			NA
liver_14_5_REP2.mLb.clN_peak_397	chr18	36559479	36560892	+	13072	NA	promoter-TSS (Ankhd1)	-promoter-TSS (Ankhd1)	-418	Ankhd1	Ankhd1	NM_175375			Ankhd1			NA
liver_14_5_REP2.mLb.clN_peak_1325	chr19	7039503	7040805	+	12398	NA	promoter-TSS (Stip1)	-promoter-TSS (Stip1)	-128	Stip1	Stip1	NM_016737			Stip1			NA
liver_14_5_REP2.mLb.clN_peak_1931	chr19	43674528	43675939	+	11937	NA	promoter-TSS (Slc25a28)	-promoter-TSS (Slc25a28)	55	BC037704	BC037704	NR_045645			BC037704			NA
liver_14_5_REP2.mLb.clN_peak_1178	chr19	4510016	4510867	+	11694	NA	promoter-TSS (Pcx)	-promoter-TSS (Pcx)	-11858	2010003K11Rik	2010003K11Rik	NM_027237			2010003K11Rik			NA
liver_14_5_REP2.mLb.clN_peak_862	chr18	73571973	73573507	+	11622	NA	promoter-TSS (Mex3c)	-promoter-TSS (Mex3c)	35	Mex3c	Mex3c	NM_001039214			Mex3c			NA
liver_14_5_REP2.mLb.clN_peak_1302	chr19	6363208	6364483	+	11144	NA	exon (Sf1, exon 1 of 13)	-exon (Sf1, exon 1 of 13)	155	Sf1	Sf1	NR_122118			Sf1			NA
liver_14_5_REP2.mLb.clN_peak_308	chr18	32542133	32543290	+	10954	NA	intron (Gypc, intron 1 of 2)	-intron (Gypc, intron 1 of 2)	17323	Gypc	Gypc	NM_001048207			Gypc			NA
liver_14_5_REP2.mLb.clN_peak_535	chr18	49832175	49833145	+	10613	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-337	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
liver_14_5_REP2.mLb.clN_peak_532	chr18	49755225	49756259	+	10203	NA	promoter-TSS (Dtwd2)	-promoter-TSS (Dtwd2)	-141	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
liver_14_5_REP2.mLb.clN_peak_231	chr18	21299516	21300850	+	9831	NA	promoter-TSS (Garem1)	-promoter-TSS (Garem1)	-44	Garem1	Garem1	NM_001033445			Garem1			NA
liver_14_5_REP2.mLb.clN_peak_802	chr18	67723882	67724949	+	9627	NA	intron (Ptpn2, intron 1 of 9)	-intron (Ptpn2, intron 1 of 8)	206	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
liver_14_5_REP2.mLb.clN_peak_484	chr18	42274764	42275902	+	9546	NA	promoter-TSS (Rbm27)	-promoter-TSS (Rbm27)	-20	Rbm27	Rbm27	NM_172626			Rbm27			NA
liver_14_5_REP2.mLb.clN_peak_605	chr18	56924938	56926125	+	9505	NA	promoter-TSS (Marchf3)	-promoter-TSS (Marchf3)	-16	Marchf3	Marchf3	NM_001374227			Marchf3			NA
liver_14_5_REP2.mLb.clN_peak_870	chr18	73815057	73816070	+	9443	NA	promoter-TSS (Me2)	-promoter-TSS (Me2)	-125	Me2	Me2	NR_157387			Me2			NA
liver_14_5_REP2.mLb.clN_peak_69	chr18	6764702	6765564	+	9318	NA	promoter-TSS (Rab18)	-promoter-TSS (Rab18)	-34	Rab18	Rab18	NM_181070			Rab18			NA
liver_14_5_REP2.mLb.clN_peak_1081	chr18	84884435	84885688	+	9206	NA	Intergenic	Intergenic	33723	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
liver_14_5_REP2.mLb.clN_peak_757	chr18	65799885	65801038	+	9172	NA	promoter-TSS (Sec11c)	-promoter-TSS (Sec11c)	-117	Sec11c	Sec11c	NM_025468			Sec11c			NA
liver_14_5_REP2.mLb.clN_peak_2046	chr19	46760883	46761877	+	8939	NA	promoter-TSS (Cnnm2)	-promoter-TSS (Cnnm2)	-229	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
liver_14_5_REP2.mLb.clN_peak_486	chr18	42511049	42512162	+	8830	NA	intron (Tcerg1, intron 1 of 22)	-intron (Tcerg1, intron 1 of 21)	118	Tcerg1	Tcerg1	NM_001039474			Tcerg1			NA
liver_14_5_REP2.mLb.clN_peak_1087	chr18	84950938	84952320	+	8807	NA	promoter-TSS (Fbxo15)	-promoter-TSS (Fbxo15)	-105	Timm21	Timm21	NR_160856			Timm21			NA
liver_14_5_REP2.mLb.clN_peak_292	chr18	31633929	31635296	+	8511	NA	promoter-TSS (Sap130)	-promoter-TSS (Sap130)	244	Sap130	Sap130	NM_172965			Sap130			NA
liver_14_5_REP2.mLb.clN_peak_1897	chr19	41980606	41981837	+	8344	NA	promoter-TSS (Mms19)	-promoter-TSS (Mms19)	-91	Mms19	Mms19	NR_164197			Mms19			NA
liver_14_5_REP2.mLb.clN_peak_1927	chr19	43524168	43525226	+	8302	NA	promoter-TSS (Got1)	-promoter-TSS (Got1)	-92	Got1	Got1	NM_010324			Got1			NA
liver_14_5_REP2.mLb.clN_peak_689	chr18	62165995	62166749	+	8263	NA	Intergenic	Intergenic	13609	Adrb2	Adrb2	NM_007420			Adrb2			NA
liver_14_5_REP2.mLb.clN_peak_218	chr18	21001294	21002389	+	8253	NA	promoter-TSS (Rnf138)	-promoter-TSS (Rnf138)	-116	Rnf138	Rnf138	NM_207623			Rnf138			NA
liver_14_5_REP2.mLb.clN_peak_2127	chr19	53389984	53391147	+	8250	NA	promoter-TSS (Smndc1)	-promoter-TSS (Smndc1)	69	Smndc1	Smndc1	NM_172429			Smndc1			NA
liver_14_5_REP2.mLb.clN_peak_4	chr18	3336734	3338069	+	8222	NA	exon (Crem, exon 1 of 5)	-exon (Crem, exon 1 of 5)	985	Gm6225	Gm6225	NR_033457			Gm6225			NA
liver_14_5_REP2.mLb.clN_peak_1315	chr19	6921458	6922430	+	8154	NA	promoter-TSS (Esrra)	-promoter-TSS (Esrra)	-136	Esrra	Esrra	NM_007953			Esrra			NA
liver_14_5_REP2.mLb.clN_peak_80	chr18	7626394	7627225	+	8063	NA	promoter-TSS (Mpp7)	-promoter-TSS (Mpp7)	-18655	Mpp7	Mpp7	NM_001081287			Mpp7			NA
liver_14_5_REP2.mLb.clN_peak_749	chr18	65430282	65431458	+	8060	NA	promoter-TSS (Malt1)	-promoter-TSS (Malt1)	-120	Malt1	Malt1	NM_001365019			Malt1			NA
liver_14_5_REP2.mLb.clN_peak_436	chr18	38296526	38297473	+	8039	NA	exon (Rnf14, exon 1 of 10)	-exon (Rnf14, exon 1 of 10)	364	Rnf14	Rnf14	NM_001361267			Rnf14			NA
liver_14_5_REP2.mLb.clN_peak_1902	chr19	42089959	42090900	+	7978	NA	promoter-TSS (Pi4k2a)	-promoter-TSS (Pi4k2a)	-6	Pi4k2a	Pi4k2a	NM_145501			Pi4k2a			NA
liver_14_5_REP2.mLb.clN_peak_1320	chr19	6979543	6980801	+	7939	NA	promoter-TSS (Fkbp2)	-promoter-TSS (Fkbp2)	268	LOC114841036	LOC114841036	NM_001370419			LOC114841036			NA
liver_14_5_REP2.mLb.clN_peak_516	chr18	46525160	46526546	+	7882	NA	exon (Fem1c, exon 1 of 3)	-exon (Fem1c, exon 1 of 3)	118	Fem1c	Fem1c	NM_173423			Fem1c			NA
liver_14_5_REP2.mLb.clN_peak_1147	chr19	4096782	4097745	+	7872	NA	promoter-TSS (Cdk2ap2)	-promoter-TSS (Cdk2ap2)	-88	Cdk2ap2	Cdk2ap2	NM_026373			Cdk2ap2			NA
liver_14_5_REP2.mLb.clN_peak_434	chr18	38249898	38250907	+	7696	NA	promoter-TSS (1700086O06Rik)	-promoter-TSS (1700086O06Rik)	153	Dele1	Dele1	NM_024179			Dele1			NA
liver_14_5_REP2.mLb.clN_peak_350	chr18	34931476	34932570	+	7671	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	-20	Etf1	Etf1	NM_144866			Etf1			NA
liver_14_5_REP2.mLb.clN_peak_1389	chr19	8966601	8967416	+	7587	NA	promoter-TSS (Eef1g)	-promoter-TSS (Eef1g)	-33	Eef1g	Eef1g	NM_026007			Eef1g			NA
liver_14_5_REP2.mLb.clN_peak_1576	chr19	21652589	21653748	+	7564	NA	promoter-TSS (1110059E24Rik)	-promoter-TSS (1110059E24Rik)	-141	Abhd17b	Abhd17b	NM_146096			Abhd17b			NA
liver_14_5_REP2.mLb.clN_peak_2113	chr19	53142095	53143074	+	7510	NA	promoter-TSS (Add3)	-promoter-TSS (Add3)	-1413	Add3	Add3	NM_001164100			Add3			NA
liver_14_5_REP2.mLb.clN_peak_926	chr18	76240926	76242383	+	7489	NA	promoter-TSS (Smad2)	-promoter-TSS (Smad2)	-47	Smad2	Smad2	NM_001252481			Smad2			NA
liver_14_5_REP2.mLb.clN_peak_1078	chr18	84850784	84851934	+	7317	NA	promoter-TSS (Cyb5a)	-promoter-TSS (Cyb5a)	21	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
liver_14_5_REP2.mLb.clN_peak_1853	chr19	40513219	40514176	+	7283	NA	promoter-TSS (Sorbs1)	-promoter-TSS (Sorbs1)	39	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
liver_14_5_REP2.mLb.clN_peak_107	chr18	10181333	10182545	+	7166	NA	promoter-TSS (Rock1)	-promoter-TSS (Rock1)	-147	Rock1	Rock1	NM_009071			Rock1			NA
liver_14_5_REP2.mLb.clN_peak_607	chr18	56977496	56978463	+	7162	NA	Intergenic	Intergenic	-2600	C330018D20Rik	C330018D20Rik	NM_029909			C330018D20Rik			NA
liver_14_5_REP2.mLb.clN_peak_2272	chr19	59942936	59943950	+	7137	NA	promoter-TSS (Rab11fip2)	-promoter-TSS (Rab11fip2)	211	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
liver_14_5_REP2.mLb.clN_peak_1116	chr19	3575286	3576403	+	6975	NA	promoter-TSS (Ppp6r3)	-promoter-TSS (Ppp6r3)	-95	Ppp6r3	Ppp6r3	NM_001360429			Ppp6r3			NA
liver_14_5_REP2.mLb.clN_peak_1180	chr19	4558212	4559294	+	6927	NA	intron (Pcx, intron 2 of 20)	-intron (Pcx, intron 2 of 20)	-35566	Pcx	Pcx	NM_001162946			Pcx			NA
liver_14_5_REP2.mLb.clN_peak_1565	chr19	21271511	21273046	+	6910	NA	promoter-TSS (Zfand5)	-promoter-TSS (Zfand5)	0	Zfand5	Zfand5	NM_009551			Zfand5			NA
liver_14_5_REP2.mLb.clN_peak_1932	chr19	43689357	43690171	+	6825	NA	promoter-TSS (Entpd7)	-promoter-TSS (Entpd7)	75	Entpd7	Entpd7	NM_053103			Entpd7			NA
liver_14_5_REP2.mLb.clN_peak_1652	chr19	29100820	29101797	+	6777	NA	promoter-TSS (Rcl1)	-promoter-TSS (Rcl1)	-67	Rcl1	Rcl1	NM_021525			Rcl1			NA
liver_14_5_REP2.mLb.clN_peak_952	chr18	77937949	77938912	+	6718	NA	promoter-TSS (Epg5)	-promoter-TSS (Epg5)	-36	Epg5	Epg5	NM_001195633			Epg5			NA
liver_14_5_REP2.mLb.clN_peak_1554	chr19	18712539	18713762	+	6671	NA	promoter-TSS (D030056L22Rik)	-promoter-TSS (D030056L22Rik)	-86	D030056L22Rik	D030056L22Rik	NM_001374130			D030056L22Rik			NA
liver_14_5_REP2.mLb.clN_peak_981	chr18	80206445	80207428	+	6648	NA	promoter-TSS (Txnl4a)	-promoter-TSS (Txnl4a)	90	Txnl4a	Txnl4a	NM_178604			Txnl4a			NA
liver_14_5_REP2.mLb.clN_peak_1132	chr19	3912461	3913397	+	6604	NA	promoter-TSS (Ndufs8)	-promoter-TSS (Ndufs8)	-155	Ndufs8	Ndufs8	NM_001271443			Ndufs8			NA
liver_14_5_REP2.mLb.clN_peak_848	chr18	70529757	70530726	+	6583	NA	promoter-TSS (Poli)	-promoter-TSS (Poli)	80	Poli	Poli	NM_001289516			Poli			NA
liver_14_5_REP2.mLb.clN_peak_1368	chr19	8741050	8742088	+	6535	NA	promoter-TSS (Stx5a)	-promoter-TSS (Stx5a)	-234	Stx5a	Stx5a	NM_001167799			Stx5a			NA
liver_14_5_REP2.mLb.clN_peak_692	chr18	62179615	62180544	+	6517	NA	promoter-TSS (Gm9949)	-promoter-TSS (Gm9949)	-21	Gm9949	Gm9949	NM_001013754			Gm9949			NA
liver_14_5_REP2.mLb.clN_peak_55	chr18	5989665	5990241	+	6500	NA	Intergenic	Intergenic	146145	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
liver_14_5_REP2.mLb.clN_peak_1660	chr19	29251156	29252291	+	6480	NA	promoter-TSS (Jak2)	-promoter-TSS (Jak2)	-80	Jak2	Jak2	NM_001048177			Jak2			NA
liver_14_5_REP2.mLb.clN_peak_1374	chr19	8802010	8802800	+	6425	NA	promoter-TSS (Zbtb3)	-promoter-TSS (Zbtb3)	-108	Zbtb3	Zbtb3	NM_001098237			Zbtb3			NA
liver_14_5_REP2.mLb.clN_peak_1375	chr19	8819014	8820884	+	6275	NA	promoter-TSS (Ttc9c)	-promoter-TSS (Ttc9c)	548	Hnrnpul2	Hnrnpul2	NM_001081196			Hnrnpul2			NA
liver_14_5_REP2.mLb.clN_peak_64	chr18	6515862	6516621	+	6253	NA	promoter-TSS (Epc1)	-promoter-TSS (Epc1)	-25384	Epc1	Epc1	NM_027497			Epc1			NA
liver_14_5_REP2.mLb.clN_peak_662	chr18	61554817	61555754	+	6246	NA	promoter-TSS (Csnk1a1)	-promoter-TSS (Csnk1a1)	12	Csnk1a1	Csnk1a1	NM_001357498			Csnk1a1			NA
liver_14_5_REP2.mLb.clN_peak_483	chr18	42261793	42262637	+	6241	NA	promoter-TSS (Lars)	-promoter-TSS (Lars)	-90	Lars	Lars	NM_134137			Lars			NA
liver_14_5_REP2.mLb.clN_peak_101	chr18	10029166	10030394	+	6205	NA	promoter-TSS (Usp14)	-promoter-TSS (Usp14)	369	Usp14	Usp14	NM_001038589			Usp14			NA
liver_14_5_REP2.mLb.clN_peak_1994	chr19	45782698	45784139	+	6171	NA	exon (Oga, exon 1 of 16)	-exon (Oga, exon 1 of 16)	135	Oga	Oga	NR_151594			Oga			NA
liver_14_5_REP2.mLb.clN_peak_1645	chr19	28010709	28012357	+	6023	NA	promoter-TSS (Rfx3)	-promoter-TSS (Rfx3)	-367	Rfx3	Rfx3	NM_001360358			Rfx3			NA
liver_14_5_REP2.mLb.clN_peak_1231	chr19	5510083	5511263	+	6022	NA	promoter-TSS (Snx32)	-promoter-TSS (Snx32)	-156	Snx32	Snx32	NM_001024560			Snx32			NA
liver_14_5_REP2.mLb.clN_peak_2080	chr19	47402563	47403711	+	5967	NA	intron (Sh3pxd2a, intron 2 of 14)	-intron (Sh3pxd2a, intron 2 of 13)	61274	Sh3pxd2a	Sh3pxd2a	NM_001164717			Sh3pxd2a			NA
liver_14_5_REP2.mLb.clN_peak_1975	chr19	45363408	45364252	+	5931	NA	promoter-TSS (Btrc)	-promoter-TSS (Btrc)	96	Btrc	Btrc	NM_001360120			Btrc			NA
liver_14_5_REP2.mLb.clN_peak_705	chr18	63691732	63692931	+	5893	NA	promoter-TSS (Txnl1)	-promoter-TSS (Txnl1)	28	Txnl1	Txnl1	NM_016792			Txnl1			NA
liver_14_5_REP2.mLb.clN_peak_2153	chr19	53943914	53945492	+	5864	NA	promoter-TSS (Bbip1)	-promoter-TSS (Bbip1)	-76	Bbip1	Bbip1	NM_001195338			Bbip1			NA
liver_14_5_REP2.mLb.clN_peak_370	chr18	35771099	35772405	+	5856	NA	exon (Ube2d2a, exon 1 of 7)	-exon (Ube2d2a, exon 1 of 7)	193	Ube2d2a	Ube2d2a	NM_019912			Ube2d2a			NA
liver_14_5_REP2.mLb.clN_peak_1496	chr19	12794718	12796814	+	5838	NA	promoter-TSS (Lpxn)	-promoter-TSS (Lpxn)	357	Gm44505	Gm44505	NR_024093			Gm44505			NA
