chrom	chromStart	chromEnd	strand	log2BaseMean	meanLog10FpkmGrp1_kidney	meanLog10FpkmGrp2_liver	meanVstCountGrp1_kidney	meanVstCountGrp2_liver	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	cRank	cRank_rerank
chr18	3166613	3166877	+	2.36595273385806	1.31576301977456	1.52837990067024	4.81710012135079	4.99111934517853	5.15492963134287	-0.63448463715975	0.662218273557991	-0.958120098001474	0.338002202035231	0.391581810357853	5400	5259
chr18	3248831	3249131	+	3.41927674617389	1.44153218706233	1.85993433514455	4.96264263452577	5.44979975692612	10.6980559298846	-1.38668045986733	0.477466852865768	-2.90424445496988	0.00368140595540926	0.00642961352792863	3582	3190
chr18	3270287	3271129	+	7.77310724546	1.51789898276517	2.80187186344624	5.59607957582708	8.71470820072815	218.745153897453	-4.43427406215625	0.305204067087579	-14.528882607858	7.95067721178103e-48	1.88406956957963e-46	264	189
chr18	3280577	3282022	+	7.8671179681884	2.36707697785335	2.32663844628988	8.10567778114737	7.98932509572461	233.473980600527	0.113191825190429	0.205325007371285	0.551281242550969	0.581440894858835	0.630583648786076	5990	5943
chr18	3336690	3338116	+	11.2200224459104	2.91717492881058	3.5768403685483	9.78414324028488	11.9308233103425	2385.41149779295	-2.19254337273341	0.184170845398745	-11.9049427610889	1.11539815033913e-32	1.40968299566093e-31	1452	1021
chr18	3358927	3359253	+	3.40988406959794	1.54274781289971	1.68798516504587	5.12481343995508	5.2858345464268	10.6286323952348	-0.403282171869031	0.517004566456977	-0.780035995876626	0.435369687933822	0.489341136851238	5566	5446
chr18	3382717	3383857	+	9.09125228265719	2.57327699007704	2.97152189822875	8.41286575220761	9.64811920551305	545.43077073879	-1.34110519529773	0.198723812279998	-6.74858830409379	1.49290531210688e-11	6.32336874241073e-11	3165	2735
chr18	3443881	3444296	+	3.79200726423935	1.56845320239068	1.70130636212658	5.27129599878164	5.4341074024108	13.8518547948185	-0.288458256307687	0.474690052468706	-0.607677061711135	0.543401679442218	0.595675645100844	5707	5619
chr18	3463832	3464432	+	4.71747243460906	1.91754360818827	1.56589877458677	6.0539690068017	5.45791883225904	26.3087798327527	1.20558927691445	0.368906435939733	3.26800825212873	0.00108307207679447	0.00204518530408276	3466	3058
chr18	3495576	3495873	+	4.06388778288323	2.04956112095951	1.50264103749329	5.75513706473638	5.05195491612956	16.7244606743299	1.62030564451453	0.493752329142086	3.28161620488935	0.00103213985458967	0.00195431807818189	3304	2888
chr18	3499099	3499483	+	3.52361405231094	1.76611966036163	1.13539842588784	5.47389322207214	4.89296526353929	11.5004152767704	1.23122816983644	0.517351794374645	2.3798664336802	0.0173189142574521	0.0269788664329233	4016	3686
chr18	3507153	3508400	+	9.93649325759125	2.91082766244803	3.13325737642498	9.57844033025377	10.2911405231915	979.901725125765	-0.73555459915615	0.169691325550052	-4.33466234512494	1.45984020864055e-05	3.54395046381655e-05	4596	4315
chr18	3561226	3561549	+	3.03429499163446	1.57238319918271	1.13090728890638	5.16697552437644	4.84578665537647	8.1924501639268	0.751626179058117	0.652919329852095	1.15117771015966	0.249659133245179	0.29920834053292	5220	5057
chr18	3616054	3617264	+	6.72761433606062	2.28823396739967	1.64166228052643	7.66288115780356	6.10415027332104	105.977510757266	2.17896965605802	0.278958709595436	7.81108307827384	5.6698624681672e-15	2.96577421411823e-14	1483	1050
chr18	3653071	3653877	+	4.55909940450512	1.77175396069493	1.10280629052971	6.04940457946021	5.06658430449043	23.5735871832908	2.17316321125371	0.488573354838092	4.44797734001248	8.6682671567434e-06	2.1674132427093e-05	2502	2038
chr18	3666185	3667785	+	7.46588817054031	2.16644216468194	2.20435644745911	7.65498991894092	7.76379834171321	176.789425127223	-0.153459512022868	0.194114948540317	-0.790559991267211	0.429200801540565	0.483449804544072	5915	5869
chr18	3765087	3765600	+	3.83762512341822	1.67261947413255	1.42406432764314	5.52556552089336	5.20309307777014	14.2968471558266	0.721358615380275	0.463880266805064	1.55505346314594	0.119933336962678	0.155406577472766	4828	4599
chr18	3806312	3807492	+	5.65608757462802	1.94967124832251	1.40891657123745	6.76288771782039	5.64809846915966	50.4257095610492	1.94418847812497	0.336646284526139	5.77516689620263	7.6876845418693e-09	2.62522677368637e-08	1913	1449
chr18	3839467	3840285	+	7.20730402919227	2.1074548350312	2.5684015850791	6.74676816077707	7.97549474511361	147.779672802505	-1.54482029441693	0.209526887694963	-7.37289763338603	1.66958689017739e-13	7.96715147593423e-13	2723	2270
chr18	3840731	3841237	+	4.99781018924138	2.10554744679153	1.60789358042315	6.29239070688351	5.41819020737953	31.9514652868907	1.78256954264572	0.38193469450597	4.66721030659826	3.05316779868478e-06	8.09348209685254e-06	2360	1883
chr18	3867440	3868055	+	4.26914942779191	1.8319180077505	1.13084150524821	5.91835408941319	4.98574199083918	19.281554032182	2.04762788096793	0.479669073850153	4.26883447901334	1.96497008287327e-05	4.70449783331618e-05	2613	2149
chr18	3893193	3893880	+	4.65461325775948	1.8508572905561	1.47227292219715	6.03350905557321	5.4085793088133	25.1871024563828	1.31163127338886	0.376757928964816	3.48136342343931	0.000498868119961154	0.000996143938230763	3223	2795
chr18	3933873	3934122	+	3.56711152856595	1.64984007750396	1.92245385882807	5.09528425545686	5.43703228632357	11.8524346096325	-0.939871277448792	0.465180216311265	-2.02044550583359	0.0433371972718255	0.061856606464189	4383	4084
chr18	3945329	3945837	+	4.1318485762799	1.39559900997459	1.81792616537333	5.14840106674026	5.75661672816157	17.5311481161406	-1.50207765186027	0.439848633894678	-3.41498764827344	0.000637849039353664	0.00124972865336565	3193	2766
