chrom	chromStart	chromEnd	strand	gene_name	log2BaseMean	meanLog10FpkmGrp1_kidney	meanLog10FpkmGrp2_liver	meanVstCountGrp1_kidney	meanVstCountGrp2_liver	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	cRank	cRank_rerank
chr18	3337248	3339248	-	Crem	10.7757380199429	3.03332738711851	3.45511395064585	9.99103948206533	11.3349159875336	1753.15522109378	-1.38866934973681	0.159036819130246	-8.7317475118736	2.5076753770752e-18	1.24462581980548e-17	279	218
chr18	3381487	3383487	+	Cul2	8.87003835303854	2.61894253693104	2.79850945006647	8.74630763862671	9.27212081527023	467.894140990578	-0.602485561361953	0.177093476019226	-3.40207654683193	0.000668759036464917	0.00118199271561241	813	748
chr18	3470129	3472129	+	G430049J08Rik	5.44123431058775	1.68993257046678	1.69308061416599	6.58949810936895	6.6002269074904	43.4484953281582	-0.0486324274379748	0.263282460791717	-0.184715788859357	0.853451961564472	0.871366570329469	1191	1187
chr18	3506456	3508456	+	Bambi	9.99037225675581	3.06317572350025	3.05219155281717	10.0840829984753	10.0486862810472	1017.18914548277	0.0540264305979477	0.150427083459114	0.359153613535504	0.719480175677872	0.754864446612849	1187	1182
chr18	4164331	4166331	+	Lyzl1	4.88110054958225	1.58338635660823	1.45399408632745	6.41917323701235	6.23751905466595	29.4684760638636	0.438490889907609	0.317957486469246	1.37908654008064	0.167868073313672	0.20786922316642	982	939
chr18	4352515	4354515	-	Map3k8	8.01767610107492	2.55793531433982	2.33516972039731	8.57236691610042	7.97686301695148	259.155841168758	0.70470166733726	0.197237511776338	3.57285823062082	0.00035310594852297	0.000644709960065963	739	659
chr18	4374091	4376091	+	Mtpap	7.73553343337607	2.34773355243104	2.41343871236051	8.00291570214074	8.17617613047631	213.121662794257	-0.236240436502682	0.160025824005469	-1.47626445900762	0.139872911267355	0.176620415473628	1058	1031
chr18	4633428	4635428	+	Jcad	8.49086047757773	2.60890497959919	2.60614820347924	8.71601432989184	8.70851500266245	359.75239406989	0.00241314738570895	0.156737960800768	0.0153960621497197	0.987716205004688	0.989343414568122	1214	1214
chr18	4919039	4921039	+	Svil	8.91363670922336	2.5954761043244	2.83822927225068	8.67749008956014	9.3911642315241	482.249759718016	-0.823843480767804	0.157500094164932	-5.23074913152171	1.68824487039144e-07	4.07322571903968e-07	635	550
chr18	5333939	5335939	-	Zfp438	10.3087915542989	3.03139739005221	3.2484756545269	9.98375869135746	10.6700630659019	1268.3977906752	-0.738147730286522	0.14694235224569	-5.02338310912791	5.07691290033816e-07	1.17815383336092e-06	705	621
chr18	5590359	5592359	+	Zeb1	8.64907901365973	2.55344723763387	2.73086903762556	8.56027580670865	9.07165841748623	401.450698574889	-0.605555192189634	0.179498471069865	-3.37359526563286	0.000741933684586319	0.00130186343500283	810	744
chr18	6135598	6137598	-	Arhgap12	10.5984305967813	3.13617194390154	3.32344849007374	10.3126316634738	10.9103762935894	1550.40627197404	-0.646876253573989	0.150262504522	-4.30497452196586	1.67004954755516e-05	3.45959156699671e-05	782	712
chr18	6241674	6243674	-	Kif5b	7.09835865267922	2.16058034754917	2.21759009534425	7.54087750503212	7.67706451330978	137.031014950681	-0.202070796444853	0.180709266412175	-1.11820937828365	0.263477579820914	0.311965664130702	1079	1054
chr18	6331089	6333089	+	Rpl27-ps3	4.65599457327308	1.57957737098525	1.31154035691948	6.40965583692559	6.04948083986839	25.211229520845	0.874095919377507	0.319440623023628	2.73633300331014	0.00621281199406153	0.00987552860755402	765	688
chr18	6515608	6517608	-	Epc1	10.1179781769763	2.973508467395	3.19343993338368	9.80480597460978	10.4941833720403	1111.25806715982	-0.717682258114073	0.144450407831798	-4.96836436038145	6.75200042289358e-07	1.55206663785229e-06	725	646
chr18	6602132	6604132	+	4921524L21Rik	4.42747616389562	1.47447346709958	1.26347076131993	6.26371256860882	6.00340538247504	21.518060806272	0.715167641543345	0.379682931311735	1.88359176187502	0.0596202170446507	0.0804641331035463	901	851
chr18	6763704	6765704	+	Rab18	11.0158573282733	3.08099412016048	3.53751934458713	10.1409951052641	11.6023759825292	2070.63468120719	-1.48049739157786	0.163753684953481	-9.04100199026631	1.55242205673045e-19	8.78021033015921e-19	228	168
chr18	7004280	7006280	-	Mkx	7.45979979192941	2.50175642610875	1.90468936791587	8.41492360634994	6.98668104524579	176.044920628762	1.98072202357671	0.180651824913603	10.9643067515316	5.67336687758382e-28	6.69787778945818e-27	103	62
chr18	7297401	7299401	-	Armc4	5.56863888117968	1.87200242599138	1.53353213904775	6.91827161090017	6.34342080333241	47.4599567657901	1.10529275618457	0.250209641055585	4.4174666952143	9.98644521669596e-06	2.09732597297103e-05	579	494
chr18	7626363	7628363	-	Mpp7	10.5806838909802	3.04712006002325	3.36370042610474	10.0350642868981	11.039436427424	1531.451423361	-1.02230782865895	0.171751650493727	-5.95224456778242	2.64489734922651e-09	7.46216978343257e-09	489	412
chr18	7867331	7869331	+	Wac	9.80174995428356	2.91449664794685	3.06836780606973	9.62363750975346	10.1001807600756	892.525732673407	-0.511887667810939	0.171930149695747	-2.97730019264679	0.00290799123296377	0.00479798824868921	866	810
